id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13974448,Private cozy apartment,63413993,Kala,,28804,35.60928,-82.56223,Entire home/apt,95,1,91,2019-02-03,2.91,1,92
14011745,Creekside Zen Den near Downtown,2718902,Michelle,,28805,35.59259,-82.51028,Entire home/apt,70,1,89,2019-01-21,2.83,1,53
14052114,West Asheville Dream Bungalow Apartment,2553058,Ron,,28806,35.5805,-82.60598,Entire home/apt,139,2,47,2018-12-31,1.52,1,172
14076438,Stone Cottage,38060048,Margaret,,28805,35.58641,-82.49023,Entire home/apt,250,2,31,2018-11-24,1.04,1,125
14102422,The Restful Edge - minutes from downtown AVL,78300248,Heather,,28803,35.55302,-82.472,Entire home/apt,80,2,13,2019-01-07,2.41,1,154
14122794,Liberty Cottage,85147880,Zephyr,,28803,35.56142,-82.51329,Entire home/apt,95,5,11,2019-01-01,0.35,1,179
14125023,Downtown Furnished Studio!! Close to Everything!!!,10746689,Irina,,28801,35.59857,-82.54082,Entire home/apt,50,30,1,2018-07-21,0.14,1,364
14167740,Sweet Comfortable Home in West Asheville,85734110,Thomas,,28806,35.56922,-82.59956,Entire home/apt,85,30,7,2018-09-02,0.23,1,297
14168464,"""B Flat"" Downtown!",23092470,April,,28801,35.59022,-82.5528,Entire home/apt,121,1,226,2019-02-03,7.27,3,268
14168714,Wake to Morning Sun in a West Asheville Bungalow,62550138,Aiyanna,,28806,35.58182,-82.57364,Entire home/apt,110,1,34,2017-05-14,1.10,1,0
14184893,Spectacular Views Minutes from Downtown,43524105,Adam,,28805,35.63137,-82.47366,Private room,75,2,68,2019-01-01,2.43,1,314
14186791,Sunlight and a Central Location!,793766,Kara,,28801,35.60316,-82.54583,Entire home/apt,100,2,50,2018-10-29,1.61,1,0
14203513,World Spirit Guest Suite,3578821,Kaitlyne,,28806,35.59534,-82.61907,Entire home/apt,75,1,151,2019-01-24,4.90,1,60
14236639,CasaLina. Minutes away from downtown,21609585,Reca,,28801,35.58158,-82.5537,Entire home/apt,79,30,16,2018-07-31,0.52,1,365
14252155,Casa de Altschul -  2 bedroom suite,86743222,Juli,,28803,35.50547,-82.4676,Private room,165,1,1,2017-07-23,0.05,3,167
14252379,Casa de Altschul -  Your Home Base - La Adena,86743222,Juli,,28803,35.50479,-82.46765,Private room,70,1,16,2018-08-19,0.53,3,167
14252454,Casa de Altschul - La Alaina - Private - Queen bed,86743222,Juli,,28803,35.50482,-82.46601,Private room,95,1,4,2017-08-13,0.19,3,167
14266066,Adorable Red Barnhouse,2898822,Emily,,28803,35.57049,-82.52178,Entire home/apt,199,30,3,2018-04-15,0.20,1,106
14295265,Artistic Suite with Hot Breakfast.,15474239,Rita,,28803,35.49896,-82.52829,Private room,63,2,107,2019-02-10,3.61,1,79
14334104,Aurora's Sunrise   5 minute drive to downtown,52167435,Marty,,28805,35.58752,-82.53427,Entire home/apt,39,2,104,2019-02-10,3.48,1,140
14352724,NEW: Elegant Modern Suite & Short Walk to Downtown,7827938,Tori,,28801,35.59665,-82.5653,Entire home/apt,129,1,195,2019-01-27,6.37,2,345
14355288,3 Bedroom Beauty - Walk to Town!,3018614,Ada,,28801,35.60818,-82.55643,Entire home/apt,90,30,8,2019-01-22,0.31,2,270
14413164,Huge Private Room in Great Location,80706403,Rachel,,28806,35.6128,-82.635,Private room,50,1,50,2018-07-29,2.18,3,0
14430828,Sunny West Asheville Retreat,19598083,Marin,,28806,35.57578,-82.578,Entire home/apt,125,1,111,2019-02-10,3.89,1,354
14440002,Your Next Asheville Get Away! 4bdrm 2 Bath,88891524,Ralph,,28804,35.62465,-82.57714,Entire home/apt,125,2,117,2019-01-27,3.82,1,274
14442508,"Adventure Lover's Studio, Bent Creek Asheville NC",10934041,Lela,,28806,35.50661,-82.60848,Entire home/apt,82,2,107,2018-11-19,3.49,1,55
14466206,West Asheville light-filled home,21655384,Julie,,28806,35.57701,-82.57382,Private room,80,1,63,2019-01-01,2.90,1,13
14466985,"Down by the Riverside:  Country feel, W. Asheville",89153937,Ruby Susan,,28806,35.55975,-82.61199,Private room,45,2,180,2019-02-10,6.21,1,161
14487885,Downtown Asheville Bungalow Awesome 3 Bedroom WIFI,78726475,Randy,,28801,35.59212,-82.55794,Entire home/apt,266,30,58,2018-11-25,1.93,3,174
14489666,Private Bed and Bath in West Asheville,27913033,Doug & Debbie,,28806,35.59096,-82.58634,Private room,59,2,7,2019-01-20,1.49,1,108
14499003,"*Suite,Calm & Comfy Gem*
Near Biltmore, BRP & AVL",3963910,Cara,,28803,35.51416,-82.51137,Entire home/apt,97,2,44,2019-02-10,2.77,1,59
14514191,Convenient Cozy Cottage near West Asheville,8574617,Dharma,,28806,35.55371,-82.6227,Entire home/apt,59,30,3,2018-01-04,0.17,1,260
14522467,Le Petit Bleu,89749383,Robert And Sally,,28804,35.62208,-82.57584,Entire home/apt,140,2,82,2019-01-08,2.75,1,111
14523242,A mountain escape with city comfort,35166807,Nicholas,,28806,35.52436,-82.61661,Entire home/apt,124,3,59,2018-12-28,1.94,3,343
14547745,"A Peaceful Suite in the Trees, close to downtown!",3875569,Cheryl,,28805,35.58455,-82.53611,Private room,80,2,89,2018-12-18,3.07,1,47
14555658,Creekside Perch on the north side,29536562,Jessica,,28804,35.63127,-82.56518,Private room,99,2,25,2019-01-01,0.84,2,322
14555712,"Enjoy cool, vibrant, and hip West Asheville!",90120472,Scott And Steve,,28806,35.58067,-82.5975,Entire home/apt,150,2,19,2019-01-01,0.63,3,365
14561813,Quiet crash pad in Downtown Asheville!,20393578,Katie,,28801,35.59826,-82.55424,Entire home/apt,127,2,59,2019-02-04,2.02,1,35
14603190,Nana's Cottage,77050888,Will,,28806,35.57248,-82.60621,Entire home/apt,100,2,66,2018-11-18,2.24,1,0
14632829,Master bedroom in the heart of West Asheville,31436003,Lee,,28806,35.58016,-82.59424,Private room,48,1,69,2019-01-20,2.31,2,360
14649826,"""East"" West Asheville Studio apt",4285304,Cammie,,28806,35.5797,-82.5729,Entire home/apt,125,2,163,2019-02-03,5.77,2,239
14715823,"Private Entrance, Private Room & full bath,  E AVL",31470010,Barbara,,28805,35.58338,-82.51516,Private room,56,1,126,2019-01-01,4.22,1,93
14731119,Nestled in the Mountains,35621512,Mike,,28804,35.64917,-82.58483,Entire home/apt,80,1,78,2018-12-16,2.69,1,178
14731928,5* BRICKHOUSE SUITE@UTOPIA ~ HOT-TUB ~ LYFT <$10,1994122,Marc & Fay,,28805,35.6129,-82.52441,Private room,49,1,140,2019-01-29,4.76,9,168
14737689,"Asheville mountain views, king beds + HOT TUB",9216883,Shawn,,28806,35.63326,-82.65826,Entire home/apt,279,1,265,2019-02-05,8.78,12,322
14738243,"CozyCottageWalk2town 4ALL,  FEB18Yoga Book now",65772530,Roberta,,28801,35.60551,-82.54843,Private room,48,1,126,2019-01-26,4.68,1,142
14751215,"Cute, Cozy, and Convenient to Downtown Asheville",10699816,Trace,,28803,35.54546,-82.47812,Entire home/apt,160,1,124,2019-02-10,4.28,1,324
